Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,PER,SOLV,NEMP,SORA,CPI
QIAN HU CORPORATION LIMITED,321.0,2014.0,58039809.2756271,44243548.0185151,12331037.6138091,19401347.1570611,18972981.1539054,4114130.02324104,-306516.309678555,,38638462.118566,296677.51455307,63215015.511632,2192537.6521945,1004313.93319368,-1206387.64846325,2987966.39657021,-1478089.76000547,27.1508387944264,91.516,5.09,,0.07970555555555556,1.02514803
QIAN HU CORPORATION LIMITED,321.0,2015.0,53622603.5200357,41534054.2584658,11628120.6651926,18041586.8893862,17638446.6437101,4807270.61378956,-195912.014126778,,35581016.6306496,13438.0081892014,55145342.0269489,1773109.81738567,629464.594125748,-1143645.22325993,1087771.3997364,-1215786.10932827,13.2483820502401,985.889,2.957,507.0,0.2525032258064516,-0.52261817
QIAN HU CORPORATION LIMITED,321.0,2016.0,53697711.248517,33844292.2357321,11705731.8341732,18785867.3322201,18499619.6665764,4733457.77535439,229551.268100739,,34911843.916297,47016.5247917175,55638525.7351398,1472032.0776701,241996.818780899,-1284657.39798546,2126114.90786076,-1281891.72005653,7.06450474098707,150.256,0.799,550.0,0.19813690476190476,-0.53226874
QIAN HU CORPORATION LIMITED,321.0,2017.0,61075114.9443984,36412538.669765,7181654.82527018,22443513.01682,22216818.4223771,3861289.77531195,-158611.399412155,,38631601.9275784,246146.935880184,65707016.7074203,2232530.26342392,861140.192091465,-1418524.59096909,5031422.92946577,-1830016.42906666,16.9873689647255,69.013,2.811,551.0,0.5612424,0.57626031
QIAN HU CORPORATION LIMITED,321.0,2018.0,58475235.0577116,34776524.3843794,14695926.291585,21247802.0905256,21056565.277338,4436547.524333,-151670.575976372,,37227432.967186,294548.654794693,62768904.5032263,2553487.71631718,1008206.34078979,-1587778.44512463,376611.961603165,-1165738.5815382,14.9727334983691,50.833,2.569,507.0,1.0422362549800797,0.438620118
QIAN HU CORPORATION LIMITED,321.0,2019.0,59063243.8236475,37741242.0788407,8357333.94759893,20548545.6675887,19382423.3093262,2986193.6647296,-85362.2350096703,,38514698.1560588,682897.880077362,57092489.6153808,3418943.0822134,1140884.82791185,-2278058.25430155,4758759.03171301,-682897.880077362,10.6178374152185,15.548,2.623,595.0,1.48333,0.565260569
QIAN HU CORPORATION LIMITED,321.0,2020.0,58817034.5954895,39615763.5345459,7800469.0952301,21198850.7061005,20182286.1309052,-1622418.90907288,-151274.490356445,,37618183.889389,-1098252.79998779,56904168.6649323,2322819.79942322,-495423.955917358,-2818243.75534058,6928371.6583252,-417517.593383789,19.320385652059,,-1.706,547.0,0.30121507936507935,-0.18191667
QIAN HU CORPORATION LIMITED,321.0,2021.0,55333285.9737873,38061701.4303207,6352001.40881538,17876008.6234808,17523859.4654799,-6082710.87622643,-229340.838193893,,37457277.3503065,1272471.74739838,59186951.8646002,4879041.38028622,2232004.22203541,-2661093.53220463,6300954.57708836,-1094177.74093151,18.0574221173705,14.191,11.897,563.0,0.15378023715415018,2.30485959
QIAN HU CORPORATION LIMITED,321.0,2022.0,53838314.8614764,36943327.9334307,6146809.30405855,15499032.7763557,14760523.2011676,-7707868.3154583,-191134.905159473,,38339282.0851207,1041201.81798935,55975753.4506917,4051018.78756285,1713520.70617676,-2376171.29176855,4491298.41345549,-759333.611547947,19.4192435083362,18.651,6.416,524.0,1.5047336,6.12106004
QIAN HU CORPORATION LIMITED,321.0,2023.0,44693615.3191924,33014561.5476966,6523585.74950695,13044896.3586688,11823904.373467,-6807219.91252899,-119065.678060055,,31648718.9605236,-7035492.32715368,53324739.4083738,-4534354.7077775,-6677536.91285849,-2176550.9301424,2544365.28593302,-524799.03960228,14.7224686728932,,-19.621,,3.617463453815261,
QUANTUM HEALTHCARE LIMITED,8623.0,,,,,,,,,,,,,,,,,,,,,,,
QUANTUM HEALTHCARE LIMITED,8623.0,2003.0,,,,,,,,,,,,,,,,,,,,,0.4880463576158941,
QUANTUM HEALTHCARE LIMITED,8623.0,2004.0,,,,,,,,,,,,,,,,,,,,,0.6823102310231023,1.662727199
