,Company,NACE,Consolidation code,Year,TE,TL,CA,CFO,CFF,CFI,CL,DA,EBIDTA,TDA,FA,LTD,ND,NI,NP,EBIT,DeltaLTB,DeltaSTB,LB,TA,ITE,IA
10075,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2019,21932898.4353542,14560570.4517365,28229662.2578502,4458877.78872252,-5026722.22161293,-636134.220898151,9691953.93496752,842488.145530224,1539489.35139179,-820962.016701698,6143111.79947853,4868616.51676893,3355849.25633669,659144.910335541,603473.887503147,738568.902909756,-8588183.12227726,4134501.29568577,1288598.6084938,36493468.8870907,-55671.0228323936,1923248.26878309
10076,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2020,22801603.931427,15334695.0874329,29952349.0905762,2092882.57408142,-286665.159225464,400121.026992798,7654489.21203613,975720.462799072,1606535.08758545,-975720.462799072,6088798.23684692,7680205.87539673,4625217.54264832,442477.884292603,310869.077682495,839573.421478271,-5296876.27983093,5380077.24952698,1198850.33607483,38136299.0188599,-131608.806610107,1844792.40989685
10077,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2021,27087372.4181652,17938152.5925398,37676260.8603239,3307686.73408031,-2112155.13885021,-240437.975525856,12401420.8730459,980247.130990028,7077014.38117027,-980247.130990028,5395428.17080021,5536731.71949387,1715617.43152142,5204557.40869045,4600133.32867622,6103425.53257942,-1887992.96474457,n.a.,1262854.22837734,45025525.010705,-604424.080014229,1703780.48503399
10078,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2022,31848132.4655414,34005651.3755322,57115869.44139,-7230402.91035175,6114829.53393459,-480440.267443657,28441915.0895476,1113342.22966433,9750111.30988598,-1294065.11664391,6598988.37929964,5563736.28598452,3454558.88897181,6775248.97277355,5622489.81714249,8467201.92700624,6819871.90783024,n.a.,1211512.68678904,65853783.8410735,-1152759.15563107,1612375.38671494
10079,SOON LIAN HOLDINGS LIMITED,2442.0,C1,2023,28746398.2602954,20765205.9296966,40579403.1951427,12193993.8696027,-9861216.63576365,-407250.121772289,15998786.9067192,1370392.86786318,-638556.056857109,-1370392.86786318,6321098.25879335,1123160.95036268,-4126346.20589018,-3525709.15478468,-3437737.06144094,-2012740.82529545,-8811618.55655909,n.a.,n.a.,49511604.189992,87972.0933437347,1541028.39374542
10080,SOUND GLOBAL LIMITED,8299.0,C1,2004,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10081,SOUND GLOBAL LIMITED,8299.0,C1,2005,23604372.2799718,30401230.0393581,51571833.5733935,15444846.8916938,-3442665.70278257,51795.495942235,27893857.167609,203588.51634711,12177021.9658837,-211395.014539361,2106267.55987108,n.a.,794651.950903237,11252137.7991065,9899507.09646195,11965626.9513443,n.a.,6195633.48591328,15489083.7147832,54005602.31933,-831577.92647928,327501.186065376
10082,SOUND GLOBAL LIMITED,8299.0,C1,2006,86170832.4667811,75684342.0403451,159336157.872677,9940069.60496306,78370473.5498875,-64399798.0494797,72359716.456309,151107.703149319,18971700.1877725,-159175.317808986,2060571.2299794,n.a.,-36643105.7842076,17647074.6950805,14156870.9244579,18799719.1324085,n.a.,32388271.4241743,48395443.3679581,161855174.507126,-2756691.12347066,330388.028919697
10083,SOUND GLOBAL LIMITED,8299.0,C1,2007,157667225.619793,89352327.19329,242556200.889587,16432248.4044135,36373107.8706086,9652000.24580956,89352327.19329,198505.054414272,26814747.2504675,-198505.054414272,2528680.59316278,n.a.,-113772418.987334,26604742.592901,22510336.270541,26616242.1960533,n.a.,-4107001.12581253,47630261.0564232,247019552.813083,-3926293.07627678,344577.394455671
10084,SOUND GLOBAL LIMITED,8299.0,C1,2008,191894911.948219,143969504.271239,283526753.370285,27515874.375999,-3550902.66527236,-22265823.305279,141595993.082643,1474409.58251059,41717875.579372,-1474409.58251059,7305035.94581783,n.a.,-109853682.74352,33940098.0079621,29799109.6181422,40243465.9968615,n.a.,6541421.41658068,57305766.1908567,335864416.219458,-4140988.38981986,21824978.2053381
10085,SOUND GLOBAL LIMITED,8299.0,C1,2009,230374904.168129,147877471.230984,288726004.004002,57362698.8430023,-33048385.9019279,43613688.0841255,135179103.341103,2063354.80642319,49185580.8348656,-2063354.80642319,6973579.80108261,7073606.15730286,-154453581.733704,42908670.691967,41280130.3095818,47121493.7710762,n.a.,-24114992.4860001,26170878.2672882,378252375.399113,-1499077.28004456,20211328.4668922
